name	HEX	RGB	HSV	HSL	CMYK	description
湖绿	#25f8cb	37,248,203	167,85,97	167,94,56	55,0,36,0
铜绿	#549688	84,150,136	167,44,59	167,28,46	69,24,51,3
水色	#88ada6	136,173,166	169,21,68	169,18,61	49,20,35,0
碧蓝	#3eede7	62,237,231	178,74,93	178,83,59	53,0,19,0	碧蓝：青蓝色
黛绿	#426666	66,102,102	180,35,40	180,21,33	76,46,53,22	黛绿：墨绿。
蔚蓝	#70f3ff	112,243,255	185,56,100	185,100,72	42,0,7,0	蔚蓝：类似晴朗天空的颜色的一种蓝色
湖蓝	#30dff3	48,2​​23,243	186,80,95	186,89,57	57,0,10,0
水蓝	#d2f0f4	210,240,244	187,14,96	187,61,89	16,0,4,0
莹白	#e3f9fd	227,239,253	189,10,99	189,87,94	9,0,1,0	莹白：晶莹洁白
苍色	#75878a	117,135,138	189,15,54	189,8,50	58,38,40,0	苍色：即各种颜色掺入黑色后的颜色，如苍翠
月白	#d6ecf0	214,236,240	189,11,94	189,46,89	15,1,4,0​​	月白：淡蓝色
雪白	#f0fcff	240,252,255	192,6,100	192,100,97	4,0,1,0	雪白：如雪般洁白
蓝	#44CEF6	68,206,246	193,72,96	193,91,62	58,0,2,0	蓝：三原色的一种。像晴天天空的颜色（注：这里的蓝色指的不是RGB色彩中的B，而是CMY色彩中的C）
鸦青	#424c50	66,76,80	197,18,31	197,10,29	72,58,54,36	鸦青：鸦羽的颜色。即黑而带有紫绿光的颜色。
花白	#c2ccd0	194,204,208	197,7,82	197,13,79	24,13,14,0	花白：白色和黑色混杂的。斑白的夹杂有灰色的白
黯	#41555d	65,85,93	197,30,36	197,18,31	76,56,50,29	黯：深黑色、泛指黑色
靛青	#177cb0	23,124,176	200,87,69	200,77,39	85,44,12,1	靛青：也叫“蓝靛”。用蓼蓝叶泡水调和与石灰沉淀所得的蓝色染料。呈深蓝绿色（注：有些地方将蓝墨水称为“靛水”或者“兰靛水”）
群青	#4c8dae	76,141,174	200,56,68	200,39,49	72,34,20,1	群青：深蓝色
靛蓝	#065279	6,82,121	200,95,47	200,91,25	97,68,31,14	靛蓝：由植物(例如靛蓝或菘蓝属植物)得到的蓝色染料
苍黑	#7397ab	115,151,171	201,33,67	201,25,56	58,32,25,1
霜色	#e9f1f6	233,241,246	203,5,96	203,42,94	7,2,1,0	霜色：白霜的颜色
墨灰	#758a99	117,138,153	205,24,60	205,15,53	58,39,31,2	墨灰：即黑灰
墨色	#50616d	80,97,109	205,27,43	205,15,37	71,54,44,19	墨色：即黑色
苍白	#d1d9e0	209,217,224	208,7,88	208,19,85	17,9,7,0
绀青	#003371	0,51,113	213,100,44	213,100,22	100,88,28,16	绀青绀紫：纯度较低的深紫色
淡青	#d3e0f3	211,224,243	216,13,95	216,57,89	15,7,0,0
藏青	#2e4e7e	46,78,126	216,63,49	216,47,34	91,74,26,10	藏青：蓝而近黑
黛蓝	#425066	66,80,102	217,35,40	217,21,33	78,64,41,24	黛蓝：深蓝色
蓝灰色	#a1afc9	161,175,201	219,20,79	219,27,71	37,25,10,0	蓝灰色：一种近于灰略带蓝的深灰色
漆黑	#161823	22,24,35	231,37,14	231,23,11	81,74,57,73	漆黑：非常黑的
宝蓝	#4b5cc4	75,92,196	232,62,77	232,51,53	78,69,0,0	宝蓝：鲜艳明亮的蓝色（注：英文中为RoyalBlue即皇家蓝色，是皇室选用的色彩，多和小面积纯黄色（金色）配合使用。）
铅白	#f0f0f4	240,240,244	240,2,96	240,15,95	4,3,2,0	铅白：铅粉的白色。铅粉，国画颜料，日久易氧化“返铅”变黑。铅粉在古时用以搽脸的化妆品。（注：冷白）
玄青	#3d3b4f	61,59,79	246,25,31	246,14,27	76,73,46,39	玄青：深黑色
黝	#6b6882	107,104,130	247,20,51	247,11,46	63,58,33,9	黝：本义为淡黑色或微青黑色。
藏蓝	#3b2e7e	59,46,126	250,63,49	250,47,34	95,100,15,4	藏蓝：蓝里略透红色
雪青	#b0a4e3	176,164,227	251,28,89	251,53,77	30,34,0,0	雪青：浅蓝紫色
黛	#4a4266	74,66,102	253,35,40	253,21,33	77,78,35,22	黛：青黑色的颜料。古代女子用以画眉。
银白	#e9e7ef	233,231,239	255,3,94	255,20,92	7,7,2,0	银白：带银光的白色
乌色	#725e82	114,94,130	273,28,51	273,16,44	61,67,28,8	乌色：暗而呈黑的颜色
乌黑	#392f41	57,47,65	273,28,25	273,16,22	74,76,49,49	乌黑：深黑
紫色	#8d4bbb	141,75,187	275,60,73	275,45,51	56,79,0,0	紫色：蓝和红组成的颜色。古人以紫为祥瑞的颜色。代指与帝王、皇宫有关的事物。
黛紫	#574266	87,66,102	275,35,40	275,21,33	71,79,36,22	黛紫：深紫色
丁香色	#cca4e3	204,164,227	278,28,89	278,53,77	20,37,0,0	丁香色：紫丁香的颜色，浅浅的紫色，很娇柔淡雅的色彩
青莲	#801dae	128,29,174	281,83,68	281,71,40	64,92,0,0	青莲：偏蓝的紫色
紫棠	#56004f	86,0,79	305,100,34	305,100,17	66,100,33,36	紫棠：黑红色
酱紫	#815476	129,84,118	315,35,51	315,21,42	52,74,33,10	酱紫：紫中略带红的颜色
水红	#f3d3e7	243,211,231	323,13,95	323,57,89	2,19,0,0
洋红	#ff0097	255,0,151	324,100,100	324,100,50	0,0,96,0	洋红：色橘红。
品红	#f00056	240,0,86	339,100,94	339,100,47	0,100,53,0	品红：比大红浅的红色。
藕荷色	#e4c6d0	228,198,208	340,13,89	340,36,84	9,23,8,0	藕荷色：浅紫而略带红的颜色
紫酱	#815463	129,84,99	340,35,51	340,21,42	46,70,45,19	紫酱：浑浊的紫色
绛紫	#8c4356	140,67,86	344,52,55	344,35,41	37,81,50,20	绛紫：紫中略带红的颜色。
殷红	#be002f	190,0,47	345,100,75	345,100,37	17,100,86,8	殷红：发黑的红色。
藕色	#edd1d8	237,209,216	345,12,93	345,44,87	5,19,7,0	藕色：浅灰而略带红的颜色
樱桃色	#c93756	201,55,86	347,73,79	347,57,50	16,93,57,3	樱桃色：鲜红色。
茜色	#cb3a56	203,58,86	348,71,80	348,58,51	15,92,58,2	茜色：茜草染的色彩，呈深红色。
火红	#ff2d51	255,45,81	350,82,100	350,100,59	0,93,60,0	火红：火焰的红色，赤色。
海棠红	#db5a6b	219,90,107	352,59,86	352,64,61	10,79,47,0	海棠红，淡紫红色、较桃红色深一些，是非常妩媚娇艳的颜色。
赫赤	#c91f37	201,31,55	352,85,79	352,73,45	14,100,83,4	赫赤：深红，火红。泛指赤色、火红色。
枣红	#c32136	195,33,54	352,83,76	352,71,45	16,99,83,6	枣红：即深红
胭脂	#9d2933	157,41,51	355,74,62	355,59,39	26,95,80,21	胭脂：1，女子装扮时用的胭脂的颜色。2，国画暗红色颜料。
桃红	#f47983	244,121,131	355,50,96	355,85,72	0,66,34,0	桃红，桃花的颜色，比粉红略鲜润的颜色。
嫣红	#ef7a82	239,122,130	356,49,94	356,79,71	2,65,36,0	嫣红：鲜艳的红色。
赤	#c3272b	195,39,43	358,80,76	358,67,46	16,98,95,6	赤：本义火的颜色，即红色。
